Категория;Отрасль;Таджикский;Русский (черновик);Исправление;Таблицы
заголовок;Прочее;Дурнамои нишондиҳандаҳои корҳои геологӣ-иктишофӣ барои солҳои 2027-2029;Прогноз показателей геологоразведочных работ на 2027-2029 годы;;Ҷадвали 8
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи тандурустӣ барои солҳои 2027-2029;Прогноз показателей здравоохранения на 2027-2029 годы;;Ҷадвали 24
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи фарҳанг барои солҳои 2027-2029;Прогноз показателей культуры на 2027-2029 годы;;Ҷадвали 26
заголовок;Прочее;Дурнамои нишондиҳандаҳои тайёр намудани кадрҳои дорои маълумоти олӣ, миёнаю ибтидоии касбӣ барои солҳои 2027-2029;Прогноз показателей подготовки кадров с высшим, средним и начальным профессиональным образованием на 2027-2029 годы;;Ҷадвали 20
заголовок;Прочее;Дурнамои нишондиҳандаҳои тайёр кардани кадрҳои илмию педагогӣ (магистрантура, аспирантура ва докторантура) барои солҳои 2027-2029;Прогноз показателей подготовки научно-педагогических кадров (магистратура, аспирантура и докторантура) на 2027-2029 годы;;Ҷадвали 22
заголовок;Прочее;Дурнамои нишондиҳандаҳои тайёркунии касбӣ, азнавтайёркунӣ, такмили ихтисос ва таҷрибаомӯзии хизматчиёни давлатӣ барои солҳои 2027-2029;Прогноз показателей профессиональной подготовки, переподготовки, повышения квалификации и стажировки государственных служащих на 2027-2029 годы;;Ҷадвали 31
заголовок;Прочее;Дурнамои нишондиҳандаҳои рушди соҳаи хоҷагии роҳҳо барои солҳои 2027-2029;Прогноз показателей развития дорожного хозяйства на 2027-2029 годы;;Ҷадвали 16
заголовок;Прочее;Дурнамои нишондиҳандаҳои рушди соҳаи маориф барои солҳои 2027-2029;Прогноз показателей развития образования на 2027-2029 годы;;Ҷадвали 23
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи илму техника барои солҳои 2027-2029;Прогноз показателей сферы науки и техники на 2027-2029 годы;;Ҷадвали 21
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи таъбу нашр барои солҳои 2027-2029;Прогноз показателей сферы печати для 2027-2029 годов;;Ҷадвали 30
заголовок;Прочее;Дурнамои нишондиҳандаҳои соҳаи телевизион, радиошунавонӣ ва информатика барои солҳои 2027-2029;Прогноз показателей телевизионной, радиовещательной и информационной сферы на 2027-2029 годы;;Ҷадвали 29
заголовок;Прочее;Дурнамои хусусигардонии объектҳои моликияти давлатӣ ва рушди соҳибкорӣ барои солҳои 2027-2029;Прогноз приватизации государственных объектов и развития предпринимательства на 2027-2029 годы;;Ҷадвали 33
заголовок;Прочее;Дурнамои иншоотҳои сохташаванда (ҳамагӣ) барои солҳои 2027-2029;Прогноз строительных работ (всего) на 2027-2029 годы;;Ҷадвали 14
заголовок;Сельское хозяйство;Нишондиҳандаҳои дурнамои истеҳсоли маҳсулоти асосии кишоварзӣ дар ҳамаи шаклҳои хоҷагидорӣ аз рӯи минтақаҳо барои солҳои 2027-2029;Показатели прогноза производства основных сельскохозяйственных продуктов во всех формах хозяйствования по регионам на 2027-2029 годы;;Ҷадвали 11
заголовок;Сельское хозяйство;). Нишондиҳандаҳои дурнамои соҳаи кишоварзӣ барои солҳои 2027-2029 (Хоҷагиҳои ҷамоавӣ);Показатели прогноза сельскохозяйственной отрасли на 2027-2029 годы (колхозы);;Ҷадвали 10А
заголовок;Сельское хозяйство;). Нишондиҳандаҳои дурнамои соҳаи кишоварзӣ барои солҳои 2027-2029 (Хоҷагиҳои аҳолӣ);Показатели прогноза сельскохозяйственной отрасли на 2027-2029 годы. Личные подсобные хозяйства;;Ҷадвали 10В
заголовок;Сельское хозяйство;). Нишондиҳандаҳои дурнамои соҳаи кишоварзӣ барои солҳои 2027-2029 Хоҷагиҳои деҳқонӣ(фермерӣ);Показатели прогноза сельскохозяйственной отрасли на 2027-2029 годы. Фермерские хозяйства;;Ҷадвали 10Б
заголовок;Сельское хозяйство;Дурнамои нишондиҳандаҳои соҳаи кишоварзӣ барои солҳои 2027-2029 (Аз ҳисоби ҳамаи шаклҳои хоҷагидорӣ);Прогноз показателей сельского хозяйства на 2027-2029 годы (по всем формам хозяйствования);;Ҷадвали 10
заголовок;Торговля и услуги;Нишондиҳандаҳои дурнамои рушди гардиши савдои хориҷӣ барои солҳои 2027-2029;Показатели прогноза развития внешнего товарооборота на 2027-2029 годы;;Ҷадвали 18
заголовок;Торговля и услуги;Нишондиҳандаҳои дурнамои рушди хизматрасонӣ дар минтақаҳои озоди иқтисодӣ (МОИ) барои солҳои 2027-2029;Показатели прогноза развития услуг в свободных экономических зонах (ОАО) на 2027-2029 годы;;Ҷадвали 38
заголовок;Торговля и услуги;Нишондиҳандаҳои дурнамои молу маҳсулоти содиротии субъектҳои Минтақаҳои Озоди Иқтисодӣ (МОИ) барои солҳои 2027-2029;Показатели прогноза товаров и продукции, экспортируемых субъектами Свободных Экономических Зон (СЭЗ) на 2027-2029 годы;;Ҷадвали 39
заголовок;Торговля и услуги;Дурнамои ҳаҷми истеҳсолот ва хизматрасонӣ, инчунин ҳиссаи онҳо дар иқтисодиёти рақамӣ (ИР) 2027-2029;Прогноз объема производства и услуг, а также их доли в цифровой экономике (ЦЭ) 2027-2029;;Ҷадвали 35
заголовок;Торговля и услуги;Дурнамои нишондиҳандаҳои рушди молҳои асосии содиротиву воридотӣ барои солҳои 2027-2029;Прогноз показателей развития основных экспортных и импортных товаров на 2027-2029 годы;;Ҷадвали 19
заголовок;Торговля и услуги;Дурнамои нишондиҳандаҳои рушди соҳаи туризм барои солҳои 2027-2029;Прогноз показателей развития туристической сферы на 2027-2029 годы;;Ҷадвали 32
заголовок;Торговля и услуги;Афзоиши миёнаи тарифҳои хизматрасонии субъектҳои монополияҳои табиӣ барои солҳои 2027-2029;Среднегодовой рост тарифов на услуги субъектов естественных монополий за 2027-2029 годы;;Ҷадвали 34
заголовок;Транспорт и связь;Дурнамои нишондиҳандаҳои рушди соҳаи алоқа барои солҳои 2027-2029;Прогноз показателей развития сферы связи на 2027-2029 годы;;Ҷадвали 28
заголовок;Транспорт и связь;Дурнамои нишондиҳандаҳои рушди соҳаи нақлиёт барои солҳои 2027-2029;Прогноз показателей развития транспортного комплекса на 2027-2029 годы;;Ҷадвали 15
заголовок;Финансы, инвестиции, налоги;Дурнамои нишондиҳандаҳои ҳаҷми сармоягузориҳо ва ба истифода додани иқтидорҳо дар Ҷумҳурии Тоҷикистон барои солҳои 2027-2029;Прогноз показателей объема инвестиций и использования мощностей в Республике Таджикистан на 2027-2029 годы;;Ҷадвали 12
заголовок;Финансы, инвестиции, налоги;Дурнамои ҷалби сармояи хориҷӣ барои солҳои 2027-2029 (соҳавӣ ва минтақавӣ);Прогноз привлечения иностранного капитала на 2027-2029 годы (отраслевой и региональный);;Ҷадвали 13
заголовок;Финансы, инвестиции, налоги;). Дурнамои ҷалби сармояи хориҷӣ (қарз ва грант) барои солҳои 2027-2029 (соҳавӣ ва минтақавӣ);Прогноз привлечения иностранных инвестиций (кредитов и грантов) на 2027-2029 годы (отраслевой и региональный);;Ҷадвали 13Б
заголовок;Финансы, инвестиции, налоги;). Дурнамои ҷалби сармояи мустақими хориҷӣ барои солҳои 2027-2029 (соҳавӣ ва минтақавӣ);Прогноз привлечения иностранных прямых инвестиций на 2027-2029 годы (отраслевой и региональный);;Ҷадвали 13А
заголовок;Энергетика;Дурнамои нишондиҳандаҳои рушди соҳаи энергетика барои солҳои 2027-2029;Прогноз показателей развития энергетического сектора на 2027-2029 годы;;Ҷадвали 6
заголовок;Энергетика: нефть и газ;Дурнамои нишондиҳандаҳои рушди соҳаи нафту газ барои солҳои 2027-2029;Прогноз показателей развития нефтяной и газовой отрасли на 2027-2029 годы;;Ҷадвали 7
группа;Демография и труд;дар со ҳа ҳои ғайриисте ҳсолӣ:;в отраслях нематериального производства:;;Ҷадвали 25
группа;Демография и труд;аз ҷумла аз ҳисоби:;в том числе за счет:;;Ҷадвали 27
группа;Демография и труд;аз ҷумла шумораи му ҳоҷирони меҳнатӣ;в том числе количество мигрантов;;Ҷадвали 25
группа;Демография и труд;аз ҷумла:;в том числе:;;Ҷадвали 27, Ҷадвали 33
группа;Демография и труд;Аҳолии ба кор машғул:;Население, занятое в экономике:;;Ҷадвали 25
группа;Демография и труд;Таъминот барои 10 ҳазор аҳолӣ:;Обеспеченность на 10 тыс. населения:;;Ҷадвали 24
группа;Промышленность;аз он ҷумла:;в том числе;;Ҷадвали 2, Ҷадвали 5, Ҷадвали 6, Ҷадвали 8, Ҷадвали 15, Ҷадвали 17, Ҷадвали 21, Ҷадвали 25, Ҷадвали 33
группа;Промышленность;ҳамагӣ;всего;;Ҷадвали 5
группа;Промышленность;аз он:;из них;;Ҷадвали 2
группа;Промышленность;Аз он:;Из них;;Ҷадвали 2
группа;Промышленность;аз он дар соҳаи саноат:;из них в сфере промышленности;;Ҷадвали 5
группа;Прочее;аз ҷумла духтурон;в том числе врачей;;Ҷадвали 24
группа;Прочее;аз ҷумла аз рӯи соҳаҳо:;в том числе по отраслям:;;Ҷадвали 33
группа;Прочее;аз ҷумла, театрҳои касбӣ;в том числе профессиональные театры;;Ҷадвали 26
группа;Прочее;аз ҷумла: ҷумҳуриявӣ;в том числе республиканские;;Ҷадвали 26
группа;Прочее;аз ҷумла, ҷумҳуриявӣ (соат);в том числе республиканского (часов);;Ҷадвали 29
группа;Прочее;аз ҷумла: - духтарон;в том числе: - девушки;;Ҷадвали 20
группа;Прочее;аз ҷумла: синфхонаи иловагӣ;в том числе: внеклассные комнаты;;Ҷадвали 23
группа;Прочее;аз ҷумла: хусусӣ;в том числе: частные;;Ҷадвали 23
группа;Прочее;Обтаъминкунӣ – ҳамагӣ км: аз ҷумла:;Водоснабжение – всего км: в том числе;;Ҷадвали 9
группа;Прочее;аз он дар:;из них в:;;Ҷадвали 16
группа;Прочее;Аз дарозии умумии роҳҳо:;Из общей длины дорог:;;Ҷадвали 16
группа;Прочее;Таъмин будан:;Обеспеченность:;;Ҷадвали 23
группа;Сельское хозяйство;аз ҷумла обӣ;в том числе орошаемые;;Ҷадвали 10
группа;Сельское хозяйство;аз ҷумла, гандум;в том числе, пшеница;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
группа;Сельское хозяйство;аз ҷумла: тухмакдор;в том числе: картофель;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
группа;Сельское хозяйство;аз ҷумла: гӯшти мурғ;в том числе: птицеводство;;Ҷадвали 10А, Ҷадвали 10Б, Ҷадвали 10В
группа;Торговля и услуги;Аз љумла:;В том числе;;Ҷадвали 37, Ҷадвали 39
группа;Торговля и услуги;аз ҷумла барои аҳолӣ;в том числе для населения;;Ҷадвали 34
группа;Торговля и услуги;аз ҷумла:- барои аҳолӣ;в том числе: - для населения;;Ҷадвали 34
группа;Торговля и услуги;аз ҷумла: бензин;в том числе: бензин;;Ҷадвали 19
группа;Торговля и услуги;аз ҷумла: меваи хушк;в том числе: сухие фрукты;;Ҷадвали 19
группа;Финансы, инвестиции, налоги;аз ҷумла аз ҳисоби буҷет;в том числе за счет бюджета;;Ҷадвали 20
группа;Финансы, инвестиции, налоги;аз ҷумла, аз ҳисоби буҷет;в том числе за счет бюджета;;Ҷадвали 20
группа;Финансы, инвестиции, налоги;аз ҷумла аз ҳисоби буҷети давлатӣ;в том числе за счет государственного бюджета;;Ҷадвали 20
группа;Финансы, инвестиции, налоги;аз ҷумла, аз ҳисоби маблағҳои буҷети давлатӣ(ҳазор сомонї);в том числе, за счет средств государственного бюджета (тыс. сомони);;Ҷадвали 21
группа;Финансы, инвестиции, налоги;аз ҷумла: аз ҳисоби буҷет;в том числе: за счет бюджета;;Ҷадвали 22
единица;Демография и труд;ҳазор сомонӣ;тыс. сомони;;Ҷадвали 8, Ҷадвали 14, Ҷадвали 14А, Ҷадвали 17, Ҷадвали 21, Ҷадвали 35
единица;Макроэкономика (сводная);млн. сомонӣ;млн сомони;;Ҷадвали 1, Ҷадвали 6
единица;Макроэкономика (сводная);ҳазор доллар;тыс. долларов;;Ҷадвали 1, Ҷадвали 13, Ҷадвали 13А, Ҷадвали 13Б
единица;Макроэкономика (сводная);ҳазор тонна;тыс. тонн;;Ҷадвали 1, Ҷадвали 11, Ҷадвали 19
единица;Макроэкономика (сводная);ҳазор нафар;тыс. человек;;Ҷадвали 1, Ҷадвали 20, Ҷадвали 25, Ҷадвали 27
единица;Промышленность;адад;единиц;;Ҷадвали 4, Ҷадвали 5
единица;Промышленность;км;км;;Ҷадвали 4
единица;Промышленность;метр;метр;;Ҷадвали 4
единица;Промышленность;млн сомонӣ;млн сомони;;Ҷадвали 2
единица;Промышленность;млн.сом.;млн сомони;;Ҷадвали 4
единица;Промышленность;млн. сом;млн сомони;;Ҷадвали 4
единица;Промышленность;млн. д.х.ш.;млн. д.х.ш.;;Ҷадвали 4
единица;Промышленность;млн.мет. мураббаъ;млн. кв. метров;;Ҷадвали 4
единица;Промышленность;млн. дона;млн. штук;;Ҷадвали 4
единица;Промышленность;млн.дона;млн. штук;;Ҷадвали 4
единица;Промышленность;млн.қ.ш.;млн.кв.ш;;Ҷадвали 4
единица;Промышленность;млн.км;млн.км;;Ҷадвали 4
единица;Промышленность;тонна;тонна;;Ҷадвали 4
единица;Промышленность;ҳаз.дона;тыс. единиц;;Ҷадвали 4
единица;Промышленность;ҳаз.мет. мураббаъ;тыс. кв.м;;Ҷадвали 4
единица;Промышленность;ҳаз.мет. мукааб;тыс. кв.м;;Ҷадвали 4
единица;Промышленность;ҳаз. м2;тыс. м2;;Ҷадвали 4
единица;Промышленность;ҳаз.ҷуфт;тыс. пар;;Ҷадвали 4
единица;Промышленность;ҳаз. ҷуфт;тыс. пар;;Ҷадвали 4
единица;Промышленность;ҳаз.сом;тыс. сомони;;Ҷадвали 4
единица;Промышленность;ҳаз.тонна;тыс. тонн;;Ҷадвали 4
единица;Промышленность;ҳаз. тонна;тыс. тонн;;Ҷадвали 4
единица;Промышленность;ҳаз.тахтаи шартӣ;тыс. условных плит;;Ҷадвали 4
единица;Промышленность;ҳаз. дона;тыс. штук;;Ҷадвали 4
единица;Промышленность;ҳаз. дона (комплект);тыс. штук (комплектов);;Ҷадвали 4
единица;Промышленность;ҳаз.дал;тыс.дал;;Ҷадвали 4
единица;Прочее;нафар;человек;;Ҷадвали 22, Ҷадвали 23, Ҷадвали 31
единица;Торговля и услуги;дона;единиц;;Ҷадвали 19
единица;Торговля и услуги;млн доллар;млн долларов;;Ҷадвали 19
единица;Торговля и услуги;млн.кВт/с;млн кВт·ч;;Ҷадвали 19
единица;Торговля и услуги;млн. доллар;млн. долларов;;Ҷадвали 18, Ҷадвали 19
единица;Торговля и услуги;ҳазор метри мукааб;тыс. квадратных метров;;Ҷадвали 19
единица;Торговля и услуги;ҳазор ҷуфт;тыс. пар;;Ҷадвали 19
показатель;Демография и труд;дар бахши воқеӣ;в реальном секторе;;Ҷадвали 25
показатель;Демография и труд;дар бахши хусусӣ (бо назардошти хоҷагии шахсӣ);в частном секторе (с учетом личного подсобного хозяйства);;Ҷадвали 25
показатель;Демография и труд;ҷойҳои кории мавсимӣ;временные рабочие места;;Ҷадвали 27
показатель;Демография и труд;ҷойҳои кори муваққатӣ;временных рабочих мест;;Ҷадвали 27
показатель;Демография и труд;мақомоти давлатӣ ва мудофиа: суғуртаи ҳатми иҷтимоӣ;государственные органы и оборона: обязательное социальное страхование;;Ҷадвали 25
показатель;Демография и труд;ҷойҳои кори иловагӣ ва барқароршуда;дополнительные и восстановленные рабочие места;;Ҷадвали 27
показатель;Демография и труд;дигар хизмат ҳои коммуналӣ, иҷтимоӣ ва шахсӣ;другие коммунальные, социальные и личные услуги;;Ҷадвали 25
показатель;Демография и труд;дигар со ҳа ҳои исте ҳсолӣ;другие отрасли материального производства;;Ҷадвали 25
показатель;Демография и труд;мо ҳипарварӣ;животноводство;;Ҷадвали 25
показатель;Демография и труд;тандурустӣ ва хизматҳои иҷтимоӣ;здравоохранение и социальные услуги;;Ҷадвали 25
показатель;Демография и труд;ташкилоту мақомоти хориҷӣ дар ҳудуди ҷумҳурӣ фаъолиятдошта;иностранные организации и органы, действующие на территории республики;;Ҷадвали 25
показатель;Демография и труд;Шумораи кормандон аз рӯи фаъолият– ҳамагӣ;Количество занятых по видам деятельности – всего;;Ҷадвали 25
показатель;Демография и труд;бахши коллективӣ;коллективный сектор;;Ҷадвали 25
показатель;Демография и труд;Шахсони ба фаъолияти меҳнатӣ машғулнабуда;Лица, занятые в трудовой деятельности;;Ҷадвали 25
показатель;Демография и труд;дар корхонаю ташкилоти бахши давлатӣ;на государственных предприятиях и в организациях;;Ҷадвали 25
показатель;Демография и труд;дар корхонаю ташкилот ҳо бо шакл ҳои гуногуни моликият;на предприятиях и в организациях с различными формами собственности;;Ҷадвали 25
показатель;Демография и труд;маориф;образование;;Ҷадвали 25
показатель;Демография и труд;амалиёт бо амволи ғайриманқул, иҷора ва фаъолияти тиҷоратӣ;операции с недвижимостью, аренда и торговая деятельность;;Ҷадвали 25
показатель;Демография и труд;ме ҳмонхона ҳо ва тарабхона ҳо;отели и рестораны;;Ҷадвали 25
показатель;Демография и труд;ҷойҳои кори доимӣ;постоянных рабочих мест;;Ҷадвали 27
показатель;Демография и труд;у;Прогноз строительных работ (всего) на 2027-2029 годы (за счет средств государственного бюджета и внебюджетных источников);;Ҷадвали 14А
показатель;Демография и труд;саноат;промышленность;;Ҷадвали 25, Ҷадвали 33
показатель;Демография и труд;бахши воқеӣ;реального сектора;;Ҷадвали 27
показатель;Демография и труд;кишоварзӣ, шикор ва ҷангалпарварӣ;сельское хозяйство, охота и лесное хозяйство;;Ҷадвали 25
показатель;Демография и труд;Ташкили ҷойҳои нави корӣ - ҳамагӣ (ҷои корӣ);Создание новых рабочих мест - всего (рабочее место);;Ҷадвали 27
показатель;Демография и труд;сохтмон;строительство;;Ҷадвали 25, Ҷадвали 33
показатель;Демография и труд;бахши хизматрасонӣ;сфера услуг;;Ҷадвали 25, Ҷадвали 27
показатель;Демография и труд;савдо, хӯроки умумӣ, таъминоти моддию техникӣ;торговля, общее питание, материально-техническое снабжение;;Ҷадвали 25
показатель;Демография и труд;нақлиёту алоқа;транспорт и связь;;Ҷадвали 25
показатель;Демография и труд;Захираҳои меҳнатӣ;Трудовые ресурсы;;Ҷадвали 25
показатель;Макроэкономика (сводная);дар меҳмонхонаҳо;в гостиницах;;Ҷадвали 1
показатель;Макроэкономика (сводная);саноати истихроҷи маъдан;добывающая промышленность;;Ҷадвали 1, Ҷадвали 5
показатель;Макроэкономика (сводная);чорводорӣ;животноводство;;Ҷадвали 1
показатель;Макроэкономика (сводная);воридот;импорт;;Ҷадвали 1, Ҷадвали 18
показатель;Макроэкономика (сводная);Маблағгузорӣ ба сармояи асосӣ;инвестиции в основной капитал;;Ҷадвали 1
показатель;Макроэкономика (сводная);аҳолии шаҳр ва ҷамоатҳои шаҳрак;население городов и поселков городского типа;;Ҷадвали 1
показатель;Макроэкономика (сводная);аҳолии ҷамоатҳои деҳот;население сельских поселений;;Ҷадвали 1
показатель;Макроэкономика (сводная);саноати коркард;обрабатывающая промышленность;;Ҷадвали 1, Ҷадвали 5
показатель;Макроэкономика (сводная);Ҳаҷми умумии гардиши савдои хориҷӣ;Общий объем внешнего товарооборота;;Ҷадвали 1
показатель;Макроэкономика (сводная);ҳачми умумии гардиши савдои дохилӣ дар хама соҳаҳо;общий объем внутреннего товарооборота во всех секторах;;Ҷадвали 1
показатель;Макроэкономика (сводная);Маҷмӯи маҳсулоти кишоварзӣ;Общий объем сельскохозяйственной продукции;;Ҷадвали 1
показатель;Макроэкономика (сводная);Ҳаҷми боркашонӣ;Объем грузоперевозок;;Ҷадвали 1
показатель;Макроэкономика (сводная);Ҳаҷми мусофиркашонӣ;Объем пассажирских перевозок;;Ҷадвали 1
показатель;Макроэкономика (сводная);ҳачми хизматрасонихои пулакӣ дар хамаи соҳаҳо;объем платных услуг во всех секторах;;Ҷадвали 1
показатель;Макроэкономика (сводная);Ҳаҷми истеҳсоли маҳсулоти саноатӣ;Объем производства промышленной продукции;;Ҷадвали 1
показатель;Макроэкономика (сводная);ҳаҷми хизматрасонии меҳмонхонаҳо ва тарабхонаҳо;объем услуг гостиниц и ресторанов;;Ҷадвали 1
показатель;Макроэкономика (сводная);хизматрасонии пулакӣ ба аҳолӣ;платные услуги населению;;Ҷадвали 1, Ҷадвали 17
показатель;Макроэкономика (сводная);таъминоти об, тозакунӣ, коркарди партовҳо ва дастрасии коркарди дуюмдараҷа;производство и распределение воды, очистка сточных вод и канализационных отходов;;Ҷадвали 1
показатель;Макроэкономика (сводная);таъминоти нерӯи барқ газ, буғ ва тозакунии ҳаво;производство и распределение электроэнергии, газа, пара и горячей воды;;Ҷадвали 1
показатель;Макроэкономика (сводная);растанипарварӣ;растениеводство;;Ҷадвали 1
показатель;Макроэкономика (сводная);гардиши савдои чакана, таъмири автомобилҳо ва мототсиклҳо;розничный товарооборот, ремонт автомобилей и мотоциклов;;Ҷадвали 1
показатель;Макроэкономика (сводная);моҳидорӣ;рыбоводство;;Ҷадвали 1
показатель;Макроэкономика (сводная);Шумораи аҳолии доимӣ (бо ҳисоби миёнаи солона);Численность постоянного населения (с учетом среднегодовой численности);;Ҷадвали 1
показатель;Макроэкономика (сводная);содирот;экспорт;;Ҷадвали 1
показатель;Промышленность;Автобусҳо;Автобусы;;Ҷадвали 4
показатель;Промышленность;Маҳлул барои беҳдошти шахсӣ(антисептик);Антисептические средства для личной гигиены;;Ҷадвали 4
показатель;Промышленность;Оҳану бетони васлшаванда;Армированный бетон;;Ҷадвали 4
показатель;Промышленность;Тахтаҳои асбестӣ (шифер);Асбесто-цементные листы (шифер);;Ҷадвали 4
показатель;Промышленность;Асфалт;Асфалт;;Ҷадвали 4
показатель;Промышленность;Нӯшокиҳои беспирт;Безалкогольные напитки;;Ҷадвали 4
показатель;Промышленность;Бензин;Бензин;;Ҷадвали 4
показатель;Промышленность;Битум;Битум;;Ҷадвали 4
показатель;Промышленность;аз он ҷумла: -дар НБО-и хурд;в том числе: - на малых ГЭС;;Ҷадвали 5
показатель;Промышленность;ноҳияи Варзоб;Варзобский район;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Шароби ангурӣ;Вино виноградное;;Ҷадвали 4
показатель;Промышленность;Арақ ва маҳсулоти ликёру арақ;Водка и ликероводочные изделия;;Ҷадвали 4
показатель;Промышленность;Оби ҷав;Газированная вода;;Ҷадвали 4
показатель;Промышленность;шаҳри Ваҳдат;город Вахдат;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;шаҳри Душанбе;город Душанбе;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;шаҳри Роғун;город Рогун;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;шаҳри Турсунзода;город Турсунзода;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;шаҳри ҳисор;город Хисар;;Ҷадвали 3, Ҷадвали 11
показатель;Промышленность;Матоъҳои тайёри пахтагин;Готовые хлопчатобумажные изделия;;Ҷадвали 4
показатель;Промышленность;Пойафзоли бачагона;Детские изделия;;Ҷадвали 4
показатель;Промышленность;Сӯзишвории дизелӣ;Дизельное топливо;;Ҷадвали 4
показатель;Промышленность;Саноати истихроҷи маъдан (С);Добывающая промышленность (С);;Ҷадвали 2
показатель;Промышленность;истихроҷи дигар канданиҳои фоиданок (С14);добыча других полезных ископаемых (С14);;Ҷадвали 2
показатель;Промышленность;истихрочи маъдани филизӣ (С13);добыча металлических руд (С13);;Ҷадвали 2
показатель;Промышленность;истихроҷи нафти хом ва гази табиӣ (С11);добыча нефти и природного газа (С11);;Ҷадвали 2
показатель;Промышленность;истихроҷи маводҳои ғайриэнергетикӣ (СВ);добыча неэнергетических ресурсов (СВ);;Ҷадвали 2
показатель;Промышленность;истихроҷи ангиштсанг ва бур (С10);добыча угля и бурого угля (С10);;Ҷадвали 2
показатель;Промышленность;истихроҷи маводҳои энергетикӣ (СА);добыча энергетических ресурсов (СА);;Ҷадвали 2
показатель;Промышленность;Дигар соҳаҳои саноат (DN);другие отрасли промышленности;;Ҷадвали 2
показатель;Промышленность;Дигар истеҳсолот, таъмир ва насби мошин ва таҷҳизотҳо (СМ(31+32+33));другое производство, ремонт и монтаж машин и оборудования;;Ҷадвали 2
показатель;Промышленность;Маснуот аз пластикаи филизӣ;Изготовление пластмасс;;Ҷадвали 4
показатель;Промышленность;Маснуоти ҷӯробу пайпоқ;Изделия из чулка и трикотажа;;Ҷадвали 4
показатель;Промышленность;Матоъи абрешими надофӣ;Искусственный шелк;;Ҷадвали 4
показатель;Промышленность;Маснуоти кабелӣ (сими печӣ);Кабельная продукция (провод);;Ҷадвали 4
показатель;Промышленность;Маснуоти кабелӣ (симҳои луч);Кабельная продукция (световые провода);;Ҷадвали 4
показатель;Промышленность;Хишти бинокорӣ;Кирпич строительный;;Ҷадвали 4
